id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14369923,"Bright, Welcoming 2 Bedroom Apt in Clinton Hill",24897395,Laura,Brooklyn,Bedford-Stuyvesant,40.68854,-73.95421,Entire home/apt,,30,1,2017-07-05,0.01,1,0,0,
13170159,Brooklyn Brand New Studio,62535444,Alex,Brooklyn,Brighton Beach,40.58019,-73.9542,Entire home/apt,69,30,55,2022-05-31,0.57,2,345,0,
22077920,Spacious appartment on Upper West Side,17322363,Luis,Manhattan,Morningside Heights,40.80419,-73.96396,Entire home/apt,,30,1,2017-12-30,0.01,1,0,0,
17958414,Beautiful & Comfortable Apartment in Brooklyn!,123048179,Joseph,Brooklyn,Bensonhurst,40.61787,-73.99968,Entire home/apt,140,30,76,2023-09-24,0.88,2,364,5,
989210881229808964,Beautiful Private Room in Co-Op in Flushing,5735865,Realty,Queens,Flushing,40.76366144085519,-73.82537971215243,Private room,130,3,21,2024-04-15,2.99,19,155,21,Exempt
28896148,Joseph & Julia #2 Guest Room Near JFK Airport,217621677,Joseph,Queens,Jamaica,40.6870791,-73.7754795,Private room,100,1,47,2024-04-27,0.69,4,83,14,OSE-STRREG-0000592
29800915,1 BR Apartment (Private Entrance),224206042,Jose,Bronx,Allerton,40.85995,-73.86234,Entire home/apt,59,30,62,2023-10-23,0.93,1,53,7,
16037130,Greenwich Village Apartment,11402865,Michael,Manhattan,Greenwich Village,40.72849,-74.00143,Entire home/apt,,30,3,2017-07-31,0.03,1,0,0,
916795601001249138,The Pearl.,481426303,Noralea,Brooklyn,Canarsie,40.63891176120992,-73.91277049738814,Private room,70,60,11,2023-09-30,1.11,2,306,11,
16414744,Beautiful room in the heart of Time Square,4923854,Carly,Manhattan,Hell's Kitchen,40.76135,-73.99038,Private room,,30,1,2018-01-01,0.01,1,0,0,
645081268065656764,Cozy Room in New York with Laundry,417806601,Seabelo,Queens,Jamaica Estates,40.71917,-73.79031,Shared room,66,30,0,,,8,365,0,
15421244,La Casa in Brooklyn: Stylish Apt. with Patio,98828133,Noelky,Brooklyn,Crown Heights,40.67088,-73.94727,Entire home/apt,125,30,195,2023-06-03,2.13,1,119,1,
1079152229019153537,Newly renovated home in Brooklyn,351556515,Chiron,Brooklyn,East Flatbush,40.634346770734155,-73.92467876713259,Private room,165,2,1,2024-05-01,1,2,268,1,OSE-STRREG-0001850
53796775,Cheerful Private Room w/ separate bathroom,154482593,Terry,Brooklyn,East New York,40.67174,-73.88453,Private room,104,3,4,2024-04-17,0.98,2,128,4,OSE-STRREG-0000859
20280692,"2 bedroom New York, Queens",46407533,Alba,Queens,Ditmars Steinway,40.78106,-73.91137,Entire home/apt,,30,2,2018-09-02,0.02,1,0,0,
769798916111101444,Duplex condo w/ Rooftop & Private Patio,36719835,Brianna,Brooklyn,Bedford-Stuyvesant,40.69335,-73.95407,Entire home/apt,386,30,0,,,1,89,0,
